"Time","172.30.0.118:9100","172.30.0.120:9100","172.30.0.12:9100","172.30.0.20:9100","172.30.0.34:9100","172.30.0.37:9100","172.30.0.38:9100","172.30.0.60:9100","172.30.0.77:9100","172.30.0.84:9100","172.30.0.88:9100","177.93.133.114:9100","177.93.133.115:9100","177.93.133.85:9100"
2025-05-13 10:19:30,30.8 GiB,30.9 GiB,31.0 GiB,29.3 GiB,30.8 GiB,30.8 GiB,30.8 GiB,5.60 GiB,30.8 GiB,5.03 GiB,30.8 GiB,30.4 GiB,29.1 GiB,28.6 GiB
2025-05-13 10:20:00,30.8 GiB,30.9 GiB,31.0 GiB,31.0 GiB,30.8 GiB,30.8 GiB,30.5 GiB,5.74 GiB,30.8 GiB,4.91 GiB,30.8 GiB,29.7 GiB,29.4 GiB,29.0 GiB
2025-05-13 10:20:30,30.8 GiB,30.8 GiB,30.9 GiB,30.9 GiB,30.8 GiB,30.8 GiB,30.5 GiB,7.22 GiB,30.8 GiB,5.14 GiB,30.8 GiB,30.2 GiB,29.3 GiB,28.7 GiB
2025-05-13 10:21:00,30.8 GiB,30.8 GiB,31.0 GiB,30.8 GiB,30.8 GiB,30.8 GiB,30.6 GiB,4.86 GiB,30.8 GiB,4.64 GiB,31.0 GiB,30.0 GiB,28.6 GiB,29.6 GiB
2025-05-13 10:21:30,30.8 GiB,30.8 GiB,31.0 GiB,,30.8 GiB,30.8 GiB,30.6 GiB,6.02 GiB,30.8 GiB,5.19 GiB,31.0 GiB,29.4 GiB,28.4 GiB,29.5 GiB
2025-05-13 10:22:00,30.8 GiB,30.8 GiB,31.0 GiB,29.2 GiB,30.8 GiB,30.8 GiB,30.8 GiB,6.88 GiB,30.8 GiB,4.84 GiB,31.0 GiB,28.6 GiB,30.9 GiB,30.4 GiB
2025-05-13 10:22:30,30.8 GiB,30.8 GiB,,20.0 GiB,30.8 GiB,30.8 GiB,30.8 GiB,6.03 GiB,30.8 GiB,3.78 GiB,31.0 GiB,29.0 GiB,28.3 GiB,30.4 GiB
2025-05-13 10:23:00,30.8 GiB,30.8 GiB,30.9 GiB,24.0 GiB,30.8 GiB,30.8 GiB,30.8 GiB,5.90 GiB,30.8 GiB,3.79 GiB,,29.8 GiB,30.8 GiB,30.8 GiB
2025-05-13 10:23:30,30.8 GiB,30.8 GiB,31.0 GiB,28.0 GiB,30.8 GiB,30.8 GiB,30.8 GiB,5.81 GiB,30.8 GiB,3.70 GiB,,30.0 GiB,28.7 GiB,30.8 GiB
2025-05-13 10:24:00,30.8 GiB,30.8 GiB,,30.9 GiB,30.8 GiB,30.8 GiB,30.8 GiB,5.90 GiB,30.8 GiB,4.98 GiB,,30.6 GiB,30.7 GiB,30.2 GiB
2025-05-13 10:24:30,30.8 GiB,30.8 GiB,,30.8 GiB,30.8 GiB,30.8 GiB,30.8 GiB,7.08 GiB,30.8 GiB,5.20 GiB,,29.8 GiB,28.8 GiB,30.0 GiB
2025-05-13 10:25:00,30.8 GiB,30.8 GiB,,,30.8 GiB,30.8 GiB,30.8 GiB,7.58 GiB,30.8 GiB,5.13 GiB,31.0 GiB,30.5 GiB,28.3 GiB,30.0 GiB
