"Time","mimir-ingester-zone-b-5","mimir-ingester-zone-b-3","mimir-ingester-zone-c-0","mimir-ingester-zone-c-4","mimir-ingester-zone-b-4","mimir-ingester-zone-b-0","mimir-ingester-zone-c-5","mimir-ingester-zone-c-3","mimir-ingester-zone-b-2","mimir-ingester-zone-b-1","mimir-ingester-zone-a-4","mimir-ingester-zone-a-3","mimir-ingester-zone-c-1","mimir-ingester-zone-c-2","mimir-ingester-zone-a-0","mimir-ingester-zone-a-1","mimir-ingester-zone-a-2","mimir-ingester-zone-a-5"
2025-05-13 10:19:00,11236180,11503061,11721610,10433941,11352571,11611362,10554648,11963082,11315670,11148716,11648754,11203401,11294787,0,11571624,11571661,12043418,10103072
2025-05-13 10:19:30,11247363,11522987,11742244,10453073,11364107,11628657,10566517,11975968,11329162,11161642,11666112,11214519,11313466,0,11583892,11589739,12058246,10117594
2025-05-13 10:20:00,11279701,11547223,11767073,10473710,11397440,11660188,10590249,12003499,11362679,11187414,11688829,11247982,11350029,11966948,11610809,11612139,12093925,10138408
2025-05-13 10:20:30,11293891,11558576,11795508,10498751,11412501,11675137,10610232,12025769,11375081,11209611,11714983,11262592,11380805,12060374,11632023,11639713,12106925,10160480
2025-05-13 10:21:00,11304902,11570925,11805928,10509366,11423021,11685183,10620209,12037368,11386378,11220173,11726742,11272923,11395631,12100945,11639750,,12119633,10170566
2025-05-13 10:21:30,11320696,11581638,11819816,10521614,11438713,11699750,10635938,12054893,11401558,11234866,11741800,11288553,11414892,12137147,11655769,11663673,12135108,10183816
2025-05-13 10:22:00,11323581,11584465,11829234,10528628,11441517,11702327,10638259,12057718,11404218,11239293,11747064,11291379,,12138305,11658675,11668865,12137974,10188408
2025-05-13 10:22:30,11323677,11585174,11830676,10529964,11441517,11702327,10638877,12058145,11404218,11240498,11748396,11291379,0,12151522,11658933,11670820,12137974,10189602
2025-05-13 10:23:00,11324979,11587576,11830676,10530584,11442893,11703627,10639546,12058956,11405564,11241134,11749081,11292655,0,12155689,11660784,11672098,12139373,10190193
2025-05-13 10:23:30,11328533,11593620,11832057,10531204,11446177,11708089,10643029,12062932,11409513,11243065,11751046,11295925,0,12168454,11664910,11674083,12143579,10191940
2025-05-13 10:24:00,11329812,11595368,11836802,10535314,11447537,11708244,10644473,12064460,11410149,11246321,11754467,11297276,0,12179360,11667464,11678173,12144298,10194878
2025-05-13 10:24:30,11329812,11596802,11836802,10535314,11448160,11708988,10645080,12065188,11410808,11246983,11755149,11297954,11419148,12180978,11669202,11679570,12145016,10195467
2025-05-13 10:25:00,11329943,11597426,11837449,10535979,11448160,11708988,10645080,12065188,11410808,11246983,11755149,11297954,11419487,12180978,11669872,11680549,12145016,10195467
